,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
0,abc unified,California,1565.69,64.47,17,11.5,0,15,0,43,53.9,13.8,419.62,ABC Unified,601620.0,Los Angeles County,6037.0,30.0,CALIFORNIA,19540,822.59,23.75
1,academia avance charter district,CALIFORNIA,39.25,3.75,3,0,0,0,0,3,0,1,13,Academia Avance Charter District,602291.0,Los Angeles County,6037.0,1.0,CALIFORNIA,293,13.5,21.7
2,academia moderna district,CALIFORNIA,36.36,4,0,0,0,1.11,0,2,0,0,8.25,Academia Moderna District,602361.0,Los Angeles County,6037.0,1.0,CALIFORNIA,446,18,24.78
3,academy for academic excellence district,CALIFORNIA,115.15,10.62,1,1.09,0,2.4,0,3,2,1,17.46,Academy for Academic Excellence District,601911.0,San Bernardino County,6071.0,1.0,CALIFORNIA,1466,65.82,22.27
4,academy of media arts district,CALIFORNIA,8.13,2.13,0,0,0,0,0,0,0,0,0,Academy of Media Arts District,602503.0,Los Angeles County,6037.0,1.0,CALIFORNIA,63,5,12.6
5,acalanes union high,California,493.72,27.99,16.6,1.33,3.5,6.33,0,13.93,5.5,8,52.57,Acalanes Union High,601650.0,Contra Costa County,6013.0,5.0,CALIFORNIA,5535,283.97,19.49
6,accelerated achievement academy district,CALIFORNIA,15.98,2.5,0,0,0,0,0,0.72,0,0,3.9,Accelerated Achievement Academy District,601877.0,Mendocino County,6045.0,1.0,CALIFORNIA,144,7.86,18.32
7,accelerated charter elementary district,CALIFORNIA,41.9,8,1,0,0,1.9,0,2,0,0,8,Accelerated Charter Elementary District,601471.0,Los Angeles County,6037.0,1.0,CALIFORNIA,495,19,26.05
8,accelerated district,CALIFORNIA,98,11.5,1,0,0,2,0,3,1,0,32.5,Accelerated District,601732.0,Los Angeles County,6037.0,1.0,CALIFORNIA,752,35,21.49
9,ace charter high district,CALIFORNIA,28.5,3,0,0,0,0,0,1,0,0,3.5,ACE Charter High District,601561.0,Santa Clara County,6085.0,1.0,CALIFORNIA,430,17,25.29
