ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
ABC UNIFIED,California,CALIFORNIA,="0601620",Los Angeles County,19540,822.59,23.75
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602291",Los Angeles County,293,13.50,21.70
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CALIFORNIA,="0602361",Los Angeles County,446,18.00,24.78
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CALIFORNIA,="0601911",San Bernardino County,1466,65.82,22.27
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0602503",Los Angeles County,63,5.00,12.60
ACALANES UNION HIGH,California,CALIFORNIA,="0601650",Contra Costa County,5535,283.97,19.49
ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601877",Mendocino County,144,7.86,18.32
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601471",Los Angeles County,495,19.00,26.05
ACCELERATED DISTRICT,CALIFORNIA,CALIFORNIA,="0601732",Los Angeles County,752,35.00,21.49
ACE CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601561",Santa Clara County,430,17.00,25.29
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602217",Santa Clara County,223,9.00,24.78
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601852",Santa Clara County,244,9.50,25.68
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602138",Santa Clara County,239,8.50,28.12
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602165",Alameda County,607,24.50,24.78
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601615",Butte County,†,†,†
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,CALIFORNIA,="0602133",Butte County,216,10.00,21.60
ACKERMAN CHARTER,California,CALIFORNIA,="0601680",Placer County,571,26.40,21.63
ACTON-AGUA DULCE UNIFIED,California,CALIFORNIA,="0600001",Los Angeles County,919,46.62,19.71
ADELANTE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602343",Santa Barbara County,302,13.00,23.23
ADELANTO ELEMENTARY,California,CALIFORNIA,="0601710",San Bernardino County,7817,365.99,21.36
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601724",Sutter County,139,6.20,22.42
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602543",Humboldt County,98,4.00,24.50
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602092",Los Angeles County,1386,71.31,19.44
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,CALIFORNIA,="0601355",Alameda County,†,†,†
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601664",Alameda County,358,15.44,23.19
ALAMEDA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691051",Alameda County,289,17.75,16.28
ALAMEDA UNIFIED,California,CALIFORNIA,="0601770",Alameda County,9071,413.35,21.95
ALBANY CITY UNIFIED,California,CALIFORNIA,="0601860",Alameda County,3501,166.07,21.08
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602409",San Diego County,801,33.00,24.27
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601896",San Diego County,601,29.05,20.69
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,CALIFORNIA,="0602072",Humboldt County,472,23.61,19.99
ALEXANDER VALLEY UNION ELEMENTARY,California,CALIFORNIA,="0601890",Sonoma County,115,8.38,13.72
ALHAMBRA UNIFIED,California,CALIFORNIA,="0600153",Los Angeles County,15747,643.14,24.48
ALISAL UNION,California,CALIFORNIA,="0601950",Monterey County,8165,336.00,24.30
ALL TRIBES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601989",San Diego County,62,4.25,14.59
ALL TRIBES ELEMENTARY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601521",San Diego County,58,4.25,13.65
ALLEGIANCE STEAM ACADEMY - THRIVE DISTRICT,CALIFORNIA,CALIFORNIA,="0602175",San Bernardino County,813,32.52,25.00
ALLENSWORTH ELEMENTARY,California,CALIFORNIA,="0601980",Tulare County,67,4.53,14.79
ALLIANCE ALICE M. BAXTER COLLEGE-READY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601572",Los Angeles County,167,11.47,14.56
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACAD HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602119",Los Angeles County,517,25.47,20.30
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12 DISTRICT,CALIFORNIA,CALIFORNIA,="0602453",Los Angeles County,475,18.04,26.33
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4 DISTRICT,CALIFORNIA,CALIFORNIA,="0601865",Los Angeles County,457,18.39,24.85
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 5 DISTRICT,CALIFORNIA,CALIFORNIA,="0602139",Los Angeles County,218,7.50,29.07
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8 DISTRICT,CALIFORNIA,CALIFORNIA,="0601589",Los Angeles County,429,18.50,23.19
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601666",Los Angeles County,602,29.30,20.55
ALLIANCE DR. OLGA MOHAN HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601926",Los Angeles County,497,22.38,22.21
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX DISTRICT,CALIFORNIA,CALIFORNIA,="0602176",Los Angeles County,991,43.06,23.01
